"","fn","label"
"1","audio_train/aug-speed-IV38R7F.wav","akawuka"
"2","audio_train/aug-speed-KM4SKWT.wav","banana"
"3","audio_train/aug-speed-F5POSU9.wav","obulwadde"
"4","audio_train/aug-speed-MMVDXG2.wav","nnyaanya"
"5","audio_train/aug-speed-9TVM96F.wav","pampu"
"6","audio_train/aug-speed-8GPEC27.wav","obutunda"
"7","audio_train/aug-speed-39DZWLV.wav","plantation"
"8","audio_train/aug-speed-D7KFQ32.wav","ensujju"
"9","audio_train/aug-speed-B6NYZM0.wav","okulimibwa"
"10","audio_train/aug-speed-41RRFRN.wav","mpeke"
"11","audio_train/aug-speed-DL9EIZ3.wav","okusaasaana"
"12","audio_train/aug-speed-Z34VM4O.wav","ebigimusa"
"13","audio_train/aug-speed-LZPBPTT.wav","ekikolo"
"14","audio_train/aug-speed-GMO6V1D.wav","farm"
"15","audio_train/aug-speed-CRW4PWN.wav","kisaanyi"
"16","audio_train/aug-speed-ZYRVWU7.wav","kikajjo"
"17","audio_train/aug-speed-TO1NWA2.wav","ekisaanyi"
"18","audio_train/aug-speed-AN3RKKH.wav","ndwadde"
"19","audio_train/aug-speed-IT0E3VU.wav","omusiri"
"20","audio_train/aug-speed-PWKKJQN.wav","butterfly"
"21","audio_train/aug-speed-9S5G6ZN.wav","munyeera"
"22","audio_train/aug-speed-59JEWXX.wav","eggobe"
"23","audio_train/aug-speed-1CJSWB0.wav","ebiwojjolo"
"24","audio_train/aug-speed-4TJ10TU.wav","ebisoolisooli"
"25","audio_train/aug-speed-WFUTBWB.wav","namuginga"
"26","audio_train/aug-speed-9EOPAU9.wav","okugimusa"
"27","audio_train/aug-speed-K6XKYKL.wav","maize streak virus"
"28","audio_train/aug-speed-CUKHLUB.wav","ekirime"
"29","audio_train/aug-speed-WODBXT5.wav","miceere"
"30","audio_train/aug-speed-LOMJ9OZ.wav","sikungula"
"31","audio_train/aug-speed-JG2QOA0.wav","lumonde"
"32","audio_train/aug-speed-O6Z1VP2.wav","okukungula"
"33","audio_train/aug-speed-LO7X7MU.wav","cassava"
"34","audio_train/aug-speed-PAS7GSH.wav","ebirime"
"35","audio_train/aug-speed-RV5Z1ER.wav","ebijanjaalo"
"36","audio_train/aug-speed-OUG88S4.wav","weeding"
"37","audio_train/aug-speed-CAUMRQU.wav","garden"
"38","audio_train/aug-speed-QJF77PW.wav","lumonde"
"39","audio_train/aug-speed-52ZK2IP.wav","drought"
"40","audio_train/aug-speed-D1T7CRG.wav","leaves"
"41","audio_train/aug-speed-2X1D30I.wav","pampu"
"42","audio_train/aug-speed-15RROXE.wav","insect"
"43","audio_train/aug-speed-0JPWI1E.wav","akatungulu"
"44","audio_train/aug-speed-E06E7N0.wav","seed"
